bidding_id,date,url,province,city,bid_or_ask,status,title,comment
BID-2025-05-07_f82825e2-fb2e-456a-acbe-c5202ff7c720,2025-05-07,https://www.zbytb.com/s-zb-57345823.html,陕西,,仅招标,招标,安徽水利西北公司陕西安建汉高大道(怡魏街-萧何路)市政工程施工废旧物料出售标段1采购公告,陕西 » 西安市
BID-2025-04-27_795653db-4902-4cf3-bf5a-514647627cc1,2025-04-27,https://www.zbytb.com/s-zb-57257482.html,陕西,,仅招标,招标,西安宝美电气工业有限公司废旧电机回收二次招标公告,陕西 » 西安市
BID-2025-04-23_b055660c-8ec9-4e93-8814-8738f552d086,2025-04-23,https://www.zbytb.com/s-zb-57116993.html,陕西,,仅招标,招标,中铁四局集团第五工程分公司西延铁路2标项目废旧物资出售招标公告,项目报价: 200万元
BID-2025-04-21_c00cf705-6418-4731-9200-81897fc6f029,2025-04-21,https://www.zbytb.com/s-zb-57089448.html,陕西,,仅招标,招标,陕西延长中煤榆林能源化工股份有限公司HW31类危险废物(废旧电池)框架处置或利用项目竞卖公告,陕西 » 榆林市
BID-2025-04-17_c83aaaa1-cc8f-472b-b762-575238562961,2025-04-17,https://www.zbytb.com/s-zb-57003791.html,陕西,,仅招标,招标,神东煤炭补连塔煤矿原煤仓维修、新建废旧铁桶暂存库、新建主井变电所打包工程招标公告,资质: 建筑工程施工总承包二级
BID-2025-04-14_1a195110-e657-4e24-8a0f-72c5f8a57f03,2025-04-14,https://www.zbytb.com/s-zb-56916663.html,陕西,,仅招标,招标,中盐榆林盐化有限公司中盐榆林废旧包装机处置采购招标公告,项目报价: 1万元
BID-2025-04-11_34cd983f-a7f7-476f-9cfc-f02314c8623b,2025-04-11,https://www.zbytb.com/s-zb-56895388.html,陕西,,仅招标,招标,西安宝美电气工业有限公司废旧电机回收招标公告,陕西 » 西安市
BID-2025-04-11_2a618032-b1b0-43fc-b16a-e6b294b2b4c5,2025-04-11,https://www.zbytb.com/s-zb-56878780.html,陕西,,仅招标,招标,金陵河公司2025年4月份废旧物资出售招标公告,陕西 » 宝鸡市
BID-2025-04-09_f557f12d-f5be-4f67-b853-d07ebdd4b69a,2025-04-09,https://www.zbytb.com/s-zb-56794134.html,陕西,,仅招标,招标,废旧蓄电池、废旧矿物油销售谈判公告,陕西 » 汉中市
BID-2025-04-09_593f787f-1d21-4ba4-bbb4-1ea8b135acdc,2025-04-09,https://www.zbytb.com/s-zb-56793957.html,陕西,,仅招标,招标,废旧氧枪喷头等一批废旧物资销售谈判公告,陕西 » 汉中市
