发布日期,招标状态,网站链接,省份,城市,附加,关键词,标题,招标公告
2025-05-07,招标,https://www.zbytb.com/s-zb-57345823.html,陕西,,陕西 » 西安市,"安徽水利,市政工程,水利,汉高,物料",安徽水利西北公司陕西安建汉高大道(怡魏街-萧何路)市政工程施工废旧物料出售标段1采购公告,一、询价项目概况1、项目名称：汉高大道（怡魏街-萧何路） 市政工程项目经理部2、项目地点：陕西省咸阳市3、采购内容：废钢筋出售，主要工作量暂估70吨。二、采购编号：ACE三、投标人资格要求1、法人资格要求：一般纳税人。2、资质、证书类要求：有效的营业执照。3、类似业绩要求：          /        。4、拟派现场人员要求：      /           。5、其它要求：         /            。6、未被限制投标。四、报价截止时间：2025 年 5 月 12 日 9:00 时。
2025-04-27,招标,https://www.zbytb.com/s-zb-57257482.html,陕西,,陕西 » 西安市,"电机,电气,电气工业,废旧电机,回收",西安宝美电气工业有限公司废旧电机回收二次招标公告,"项目类别：物资类项目分类：其他供应商资格要求：1）承包商具备合格有效的统一社会信用代码的营业执照。若为事业单位，提供事业单位法人证书。2）承包商（服务商）书面承诺没有处于被责令停业,财产被接管、冻结、破产、资不抵债等状态。3）承包商（服务商）须书面承诺，进场拉运时发生的现场解割、废弃物清理、吊装、运输等费用由中标方负担，现场服从我方安全人员监.."
2025-04-23,招标,https://www.zbytb.com/s-zb-57116993.html,陕西,,项目报价: 200万元,"废旧物资,废旧物资出售,中铁四局,西延铁路,物资",中铁四局集团第五工程分公司西延铁路2标项目废旧物资出售招标公告,标书发售截止时间:2025-04-28 23:59中铁四局集团第五工程分公司西延铁路2标项目经理部废旧物资出售招标公告1.招标条件中铁四局集团第五工程分公司西延铁路2标项目经理部建设资金已落实，所需物资废旧物资已具备招标条件，现由中铁四局集团第五工程分公司招标采购中心组织公开招标。2.项目概况与招标内容2.1项目概况：新建西安至延安铁路西安至铜川段站前工程 XYZQ-2 标段，里程为 DK052+206.38~DK081+395.35，位于陕西省渭南市富平县境内，正线长度 29.19km。本标段负责富平特大桥桥梁桩 基、墩台及 8 联连续梁，箱梁制架 880 孔（负责富平特大桥 DK50+250.11～DK81+395.35 共 880 孔箱 梁预制架设（含小里程端先开 1 标富平车站桥范围内 21 孔）；无砟轨道及配套四电相关工程等。合 同费用 23.6 亿元，总工期 36 个月，计划开工日期：2023 年 1 月 1 日；计划竣工日期：2025 年12 月15日。2.2招标内容：物资品种、包件划分见附表1。附表1招标物资包件划分表序号物资名称包件号计量单位包件数量投标人资格条件投标保证金（万元）1废旧物资FJWZ-01吨23001．营业范围：在中国境内依法注册，具有独立法人资格、具有废旧物资收购资质的单位，并且具有合法、有效的企业法人营业执照、税务登记证书。具有接受增值税专票的一般纳税人资格。2．回收能力：须具备回收2000吨以上的生产能力，具有切割、运输、装运夹持设备等，提供相关设备证明资料。3.财务能力：投标人必须为增值税一般纳税人，且必须及时开具合法合规的增值税专用发票票据。注册资本不低于200万元（含）人民币。具有2022-2024年任意两年财务会计报表(包含资产负债表、现金流量表、利润表和财务报表附注)。新成立公司仅需提供成立后年份的财务会计报表。投标人须提供税务机关出具的最近6个月的《税收完税证明》。4．供货业绩：投标人须提供2023年1月1日至开标之日大中型基建项目的投标物资供货业绩相关证明材料（如合同协议书时间，以合同签订时间为准）至少2份，其中单份合同金额需不低于50万元。5．履约信用：投标人必须具有良好的社会信誉。2022年1月1日至开标之日没有与骗取合同有关的犯罪或严重违法行为而引起的诉讼和仲裁。投标人未被国家企业信用信息公示系统列入“严重违法失信企业名单、经营异常名录”，未被中国执行信息公开网列入“失信被执行人”，未被信用中国列入“行政处罚”“严重失信”“经营异常”（提供以上网站查询结果截图）。未被中国国家铁路集团有限公司、中国中铁股份有限公司、中铁四局集团、招标人列入  “供应商信用评价结果”“分级管理名录”。5注：1.本次招标物资的具体规格、交货地点、需求时间详见招标文件。2.投标保证金可采用银行转账或金融机构出具的投标保函形式缴纳。3.投标人资格要求3.1 本次招标投标人资格要求详见附表1。3.2 本次招标不接受联合体投标。3.3 本次招标物资一包一投，投标人按包件分别编制投标文件。4.资格审查方式本次投标人的资质审查采用资格后审的方式，评标办法采用经评审的最高投标价法。5.招标文件的获取5.1凡有意参加投标的潜在投标人请于公告之日起至 2025 年 4 月 28 日 24 时 00分前（北京时间，下同）……获取电子版招标文件
2025-04-21,招标,https://www.zbytb.com/s-zb-57089448.html,陕西,,陕西 » 榆林市,"电池,陕西延长中煤榆林能源化工,中煤榆林能源化工,榆林能源化工,陕西延长中",陕西延长中煤榆林能源化工股份有限公司HW31类危险废物(废旧电池)框架处置或利用项目竞卖公告,关附件（单击附件直接下载）:8c********fd066eb****************
2025-04-17,招标,https://www.zbytb.com/s-zb-57003791.html,陕西,,资质: 建筑工程施工总承包二级,"煤炭,神东煤炭,打包工程,补连塔,原煤仓",神东煤炭补连塔煤矿原煤仓维修、新建废旧铁桶暂存库、新建主井变电所打包工程招标公告,第一章 公开招标1.招标条件本招标项目名称为：神东煤炭补连塔煤矿原煤仓维修、新建废旧铁桶暂存库、新建主井变电所打包工程公开招标，项目招标编号为：CEZB250303351，招标人为中国神华能源股份有限公司神东煤炭分公司，项目单位为：补连塔煤矿，资金来源为自筹。本项目已具备招标条件，现对该项目进行国内资格后审公开招标。2.项目概况与招标范围2.1 项目概况、招标范围及标段（包）划分：本项目共划分为1个标段；工程概况：1.补连塔煤矿共计8座原煤仓，仓直径约22m，高48m。仓体外墙局部冻融露筋，仓体附属设施排水管、爬梯锈蚀严重，变形缝漏水，存在冬季高空挂冰现象；仓顶配仓间屋顶防水漏水严重，门窗户变形，存在脱落现象。2.补连塔煤矿新建废旧铁桶暂存库工程，长50.4m，宽12m，总建筑面积为604.8㎡，1层砖混结构。主要实施内容包括保温屋面、防油渗地面、墙裙、内墙面、外墙、台阶、混凝土导流槽、起重设施等。3.补连塔新建主井变电所工程：1#主井皮带、103胶带机担负补连塔煤矿12煤的运输任务，后续6盘区煤炭运输也需要经过此条皮带，服务年限预计还需要25年以上，因此为保证矿井正常生产，矿内计划对两个变电所进行优化设计，在地面新建一处变电所，将两个变电所进行集中布置。具体工程量详见图纸或工程量清单。采购范围：1.神东煤炭补连塔煤矿原煤仓维修加固、粉刷工程：1.对仓体及其附属设施进行整体维修。2.仓体设置企业标识及宣传标语。具体工程量详见图纸或工程量清单。2.神东煤炭补连塔煤矿新建废旧铁桶暂存库工程：长50.4m，宽12m，总建筑面积为604.8㎡，1层砖混结构。主要实施内容包括保温屋面、防油渗地面、墙裙、内墙面、外墙、台阶、混凝土导流槽、起重设施等。具体工程量详见图纸或工程量清单。3.神东煤炭补连塔煤矿新建主井变电所工程：在原矿开拓安装队场地新建一处地面配电室，（长×宽=30m×9.0m，檐高和层数4.5/1，建筑面积270m2，砖混），配套安装电缆沟，排风设施，10P工业空调一台。具体工程量详见图纸或工程量清单。计划工期：300日历天，计划开工日期：2025年5月20日，计划竣工日期：2026年8月16日，冬歇期除外。实际开工日期以甲方签发的开工报告日期为准。质量要求：施工质量须符合国家相关验收规范，质量等级为合格，缺陷责任期为24个月。安全要求：安全责任主体为投标人，具体以签订的安全协议为准。建设地点：补连塔煤矿厂区。安全文明标准：执行住房和城乡建设部办公厅2019年2月1日下发的《房屋市政工程安全生产标准化指导图册》（建办质函（2019）90号）及《神东煤炭工程建设安全文明施工标准化图册》。2.2 其他：/3.投标人资格要求3.1 资质条件和业绩要求：【1】资质条件：（1）投标人须为依法注册的独立法人或其他组织，须提供有效的证明文件。（2）投标人须具有并提供有效的住房和城乡建设主管部门颁发的建筑工程施工总承包二级及以上资质，提供以上证书扫描件，且必须与官网查询一致。（3）投标人须具有并提供有效的安全生产许可证。【2】财务要求：/【3】业绩要求：2020年4月至投标截止日(以合同签订时间为准)，投标人须至少具有已完成的单项合同金额1000万元以上的建筑工程施工业绩1份。投标人须提供能证明本次招标业绩要求的合同和用户证明扫描件，合同扫描件须至少包含：合同买卖双方盖章页、合同签订时间和业绩要求中的关键信息页；用户证明须由最终用户盖章，可以是验收证明、使用证明、回访记录或其他能证明合同标的物已经完工的材料（若合同甲方不是最终用户，合同甲方获取的最终用户证明也可）。另须提供与业绩合同对应的至少一张工程款支付发票扫描件（发票代码、发票号码、不含税金额须清晰可查，发票开票日期须在2025年2月18日（不含）前，否则按无效认定）。【4】信誉要求：/【5】项目经理资格要求：投标人须提供拟任项目经理有效的二级及以上建造师执业资格注册证书（建筑工程专业专业，须在本单位注册）和相应有效的安全生产考核合格证（B类）。提供上述证书的电子证书或扫描件均可，同时提供安全生产考核合格证书（B类）官方查询网址和查询截图。（投标人提供的一级注册建造师电子证书，应符合《住房和城乡建设部办公厅关于全面实行一级建造师电子注册证书的通知》建办市〔2021〕40号要求。注：①2022年1月1日起，一级建造师统一使用电子证书，纸质注册证书作废。②一级建造师电子证书下载打印后，应在个人签名处手写本人签名，未手写签名或与签名图像笔迹不一致的，该电子证书无效。③电子证书上已标明使用时限，超出使用期限的电子证书无效，需重新下载电子证书并再次确认使用时限。）。【6】其他主要人员要求：技术负责人：投标人拟派技术负责人须具有中级工程师及以上职称（工程类），提供职称证书扫描件。安全负责人：投标人拟派安全负责人须具有并提供相应有效的安全生产考核合格证书(C类)且在本单位注册，提供上述证书的电子证书或扫描件均可，同时提供安全生产考核合格证书（C类）官方查询网址和查询截图。质量负责人：/【7】其他要求：/3.2 本项目不接受联合体投标。4.招标文件开始购买时间2025-04-18 09:00:00，招标文件购买截止时间2025-04-23 16:00:00。
2025-04-14,招标,https://www.zbytb.com/s-zb-56916663.html,陕西,,项目报价: 1万元,"包装机,榆林盐化,中盐,盐化,包装",中盐榆林盐化有限公司中盐榆林废旧包装机处置采购招标公告,企    业： 中盐榆林盐化有限公司项目类型： 竞价采购项目所在地：中盐榆林盐化有限公司一、采购物资序号物料编码物料名称规格型号计量单位数量备注124020000006824废旧物资-FY吨4.5二、供应商资格条件（一）基本条件1.参与供应商必须是在中华人民共和国境内注册的具有独立承担民事责任能力的法人或其他组织；2.参与供应商不得为“信用中国”网站列入严重失信主体名单或经营异常；3.本次采购项目不接受联合体参与。（二）其他条件三、报价截止时间：2025-04-18 10:00
2025-04-11,招标,https://www.zbytb.com/s-zb-56895388.html,陕西,,陕西 » 西安市,"电机,电气,电气工业,废旧电机,回收",西安宝美电气工业有限公司废旧电机回收招标公告,"1.项目概况与谈判范围1.1谈判项目名称：西安宝美电气工业有限公司废旧电机回收。1.2计划金额：3万元（含13%增值税）。1.3项目概况：本项目为西安宝美电气工业有限公司废旧电机回收，数量1台。1.4实施方式： ☑公开谈判  □邀请谈判谈判评审方法：最高报价法（通过初步评审，满足承包商要求，报价最高，谈判过程中，如形成竞争性谈判，谈判轮次限定2轮、如果为单一来源谈判，谈判轮次不限，直至双方认可谈判价格。）2.承包商（服务商）资格要求2.1 资质条件：1）承包商具备合格有效的统一社会信用代码的营业执照。若为事业单位，提供事业单位法人证书。 2） 承包商（服务商）书面承诺没有处于被责令停业,财产被接管、冻结、破产、资不抵债等状态。3）承包商（服务商）须书面承诺，进场拉运时发生的现场解割、废弃物清理、吊装、运输等费用由中标方负担，现场服从我方安全人员监管，违者后果自负。4）承包商（服务商）须书面承诺，合同签订生效后，通知到现场处置之日起，原则上5个工作日内将报废料处置完毕；并书面承诺在处置完毕后10个工作日内付款给甲方。 5）信誉要求：具备良好的信用记录，近三年承包商（服务商）未被工商行政管理机关在“全国企业信用信息公示系统”（www.gsxt.gov.cn/index.html）中列入严重违法失信企业名单，未被最高人民法院在“信用中国”网站列为失信被执行人，未被各级信用信息共享平台列为入失信被执行人。3.报名方式凡有意参加本谈判项目的承包商（服务商），请于2025年4月11日至2025年4月14日17时00分前（北京时间）报名。4.谈判时间4.1谈判时间：2025年4月21日10时00分5.谈判响应文件的递交5.1 谈判响应文件递交截止时间为2025年4月21日10时00分（北京时间）。"
2025-04-11,招标,https://www.zbytb.com/s-zb-56878780.html,陕西,,陕西 » 宝鸡市,"废旧物资,废旧物资出售,金陵,物资",金陵河公司2025年4月份废旧物资出售招标公告,一、项目名称：金陵河公司废泡沫夹芯板出售二、招标人：宝鸡市众喜金陵河水泥有限公司三、招标内容、数量：此次招标主要为废旧泡沫夹芯板，预计70吨。四、合同周期：2025年4月17日至出售完毕。五、交货地点：宝鸡市众喜金陵河水泥有限公司厂区。六、投标申请人须具备的条件及需提供材料1.投标人须提供有效的营业执照，经营范围必须包含废物品回收等相关内容。2.存在股权关联的投标人原则上不得同时投标，单位负责人为同一人或者存在控股、管理关系的不同单位，不得同时参加投标，否则相关投标均无效。3.招标方在开标前对投标人IP地址或域名进行比对，如出现不同投标单位使用IP地址相同的情况进行投标，则视为串标，出现串标行为的，认定投标单位的投标报价无效，并同时将IP地址一致单位均纳入黑名单管理，并取消其两年合作资格。4.未被安徽海螺水泥股份有限公司本部及其所属或管理企业列入封存供应商名单的，以及与因夹带或偷盗等弄虚作假行为而被列入封存供应商的股东存在控股和参股关系的公司。5.投标人不得被人民法院列为失信被执行人。6.不接受联合体投标。七、公告发布媒介凡符合以上条件者可在公示报名截止日（2025年4月14日8:00）前报名。
2025-04-09,招标,https://www.zbytb.com/s-zb-56794134.html,陕西,,陕西 » 汉中市,"废旧蓄电池,蓄电池,电池,废旧蓄电,矿物油",废旧蓄电池、废旧矿物油销售谈判公告,一、投标人资格要求资质条件：投标人须具有有效的企业法人营业执照 (五证或三证合一)。二、工本费缴纳缴纳方式：电汇金    额：300元（不退还），报名时将转账凭证上传。户    名： 陕钢集团汉中钢****公司开户银行： 交通银行西###街支行银行帐号： 2610********财务电话： ********备    注：1、须使用对公账户缴纳； 2、在缴费时，须在凭证上注明“ 废旧物资销售项目工本费”。
2025-04-09,招标,https://www.zbytb.com/s-zb-56793957.html,陕西,,陕西 » 汉中市,"废旧物资,喷头,物资",废旧氧枪喷头等一批废旧物资销售谈判公告,一、投标人资格要求资质条件：投标人须具有有效的企业法人营业执照 (五证或三证合一)。二、工本费缴纳缴纳方式：电汇金    额：300元（不退还），报名时将转账凭证上传。户    名： 陕钢集团汉中钢****公司开户银行： 交通银行西###街支行银行帐号： 2610********财务电话： ********备    注：1、须使用对公账户缴纳； 2、在缴费时，须在凭证上注明“ 废旧物资销售项目工本费”。
