发布日期,招标状态,网站链接,省份,城市,附加,关键词,标题,招标公告
2025-05-07,招标,https://www.zbytb.com/s-zb-57353245.html,陕西,咸阳市,资质: 劳务派遣经营许可证,"劳务派遣,劳务,医疗保障,监督检查,基金监管",天津市医疗保障基金监督检查所医疗保障基金监管创新中心2025-2026年劳务派遣项目招标公告,一、项目基本情况 项目编号：BHJ 项目名称：医疗保障基金监管创新中心2025-2026年劳务派遣项目 预算金额：154.34万元 最高限价：154.34万元 采购需求：包号是否设置最高限价预算（万元）最高限价（万元）采购目录采购需求第1包否154.34154.34其他服务本项目为医疗保障基金监管创新中心2025-2026年劳务派遣，详见项目需求书合同履行期限：自合同签订之日起一年。 本项目不接受联合体参与 ，本项目不接受进口产品二、申请人的资格要求： 1.满足《中华人民共和国政府采购法》第二十二条规定； 2.落实政府采购政策需满足的资格要求：（1）本项目专门面向小微企业采购，根据财政部发布的《政府采购促进中小企业发展管理办法》财库[2020]46号）、《财政部关于进一步加大政府采购支持中小企业力度的通知》（财库[2022]19号）规定，参加政府采购活动的小微企业应当如实填写《中小企业声明函》，标明本企业规模。小微企业划分请参照《工业和信息化部、国家统计局、国家发展和改革委员会、财政部关于印发中小企业划型标准规定的通知》（工信部联企业〔2011〕300号）。未提供《中小企业声明函》的将不予以认定。（2）根据财政部、司法部发布的《关于政府采购支持监狱企业发展有关问题的通知》（财库〔2014〕68号）规定，对监狱企业视同小型、微型企业，享受预留份额的政府采购政策。同时监狱企业技术标中须提供由省级以上监狱管理局、戒毒管理局（含新疆生产建设兵团）出具的属于监狱企业的证明文件，未提供的将不予以认定。注：小微企业以投标人填写的《中小企业声明函》为判定标准，监狱企业须投标人提供由省级以上监狱管理局、戒毒管理局(含新疆生产建设兵团)出具的属于监狱企业的证明文件，否则不予认定。（3）根据财政部、民政部、中国残疾人联合会联合发布的《关于促进残疾人就业政府采购政策的通知》（财库〔2017〕141号）规定，在政府采购活动中，残疾人福利性单位视同小型、微型企业，享受预留份额的政府采购政策。即残疾人福利性单位提供本单位制造的货物，或者提供其他残疾人福利性单位制造的货物（不包括使用非残疾人福利性单位注册商标的货物）。残疾人福利性单位属于小型、微型企业的，不重复享受政策。符合条件的残疾人福利性单位在参加政府采购活动时，应当提供《残疾人福利性单位声明函》，并对声明的真实性负责。未提供《残疾人福利性单位声明函》的将不予以认定。（4）涉及商品包装或快递包装的，按照《财政部办公厅、生态环境部办公厅、国家邮政局办公室关于印发<商品包装政府采购需求标准（试行）>、<快递包装政府采购需求标准（试行）>的通知》（财办库〔2020〕123号）要求执行。 本项目专门面向小型、微型企业采购； 3.本项目的特定资格要求：（1）本项目专门面向小微企业采购，须提供所属企业类型《中小企业声明函》或《残疾人福利性单位声明函》或由省级以上监狱管理局、戒毒管理局（含新疆生产建设兵团）出具的属于监狱企业的证明文件；（2）具有独立承担民事责任能力，提供相关证件；（有效期内的营业执照或事业单位法人证书或民办非企业单位登记证书或社会团体法人登记证书或基金会法人登记证书或自然人的身份证明）（3）具有相关行政主管部门核发的在有效期内的《劳务派遣经营许可证》；（4）有依法纳税的良好记录，须提供2025年至少1个月的依法纳税的相关证明材料；（依法免缴的，应提供依法免缴的相关证明文件；新成立的投标人按实际的缴纳情况递交相关证明）（5）有依法缴纳社会保障资金的良好记录，须提供2025年至少1个月的依法缴纳社会保险费的相关证明材料；（依法免缴的，应提供依法免缴的相关证明文件；新成立的投标人按实际的缴纳情况递交相关证明）（6）具有良好的商业信誉和健全的财务会计制度，须提供2023年度或2024年度经第三方会计师事务所审计的企业财务报告或开标及投标截止时间的前6个月内银行出具的资信证明；（7）投标截止日前三年参加政府采购活动，在经营活动中没有重大违法记录。提供书面声明函；（截至开标日成立不足3年的投标人可提供自成立以来无重大违法记录的书面声明）（8）本项目不接受联合体投标。三、获取招标文件 时间：2025年05月07日到 2025年05月14日，每天上午08:30至12:00，下午13:30至16:00（北京时间，法定节假日除外）
2025-05-07,招标,https://www.zbytb.com/s-zb-57350018.html,陕西,咸阳市,陕西 » 咸阳市,"窗帘,陕西彬长,厂前区,彬长,厂前",陕西彬长文家坡发电有限公司厂前区窗帘采购项目招标公告,1. 招标条件本招标项目陕西彬长文家坡发电有限公司厂前区窗帘采购项目，资金为企业自筹，项目已具备招标条件，招标人为陕西彬长矿业集团有限公司。受陕西彬长矿业集团有限公司的委托，现对该项目进行国内公开招标。2.项目概况、招标范围及招标编号2.1项目名称：陕西彬长文家坡发电有限公司厂前区窗帘采购项目2.2项目地点：陕西省咸阳市彬州市2.3招标范围：厂前区新建办公楼、宿舍、篮球场、餐厅等区域窗帘，需购入一批窗帘，包括手动双层布艺帘3200平方米、双层拉珠卷帘580平方米、电动卷帘366平方米、电动双层布艺帘390平方米等共计8种，共计4981平方米。（详见招标文件第五章技术规范书）。2.4交货期：合同签订后20天2.5招标编号：0863.投标人资格要求3.1资质要求：（1）投标人须是中华人民共和国境内注册的独立法人资格或其他组织，具有有效的营业执照，并具有与本招标项目相应的供货及服务能力；（2）法定代表人为同一人或者存在控股、管理关系的不同单位，不得同时参加投标。（3）投标人须为窗帘生产厂家，不接受代理商投标。（4）投标人提供项目负责人在其单位连续六个月缴纳社会保障资金的相关材料3.2业绩要求：投标人须提供2022年01月01日至投标截止日窗帘采购业绩3份，其中最少有一份合同清单中主要产品双层卷帘不小于500平方米或手动双层布艺帘不小于3000平方米，合同扫描件须至少包含:合同买卖双方盖章页、合同签订日期、合同内容、项目服务厂家、交付清单等关键信息。3.3信誉要求：（1）未在“信用中国”网站中列入失信被执行人名单，提供有效证明资料（网页截图）。（2）不得列入陕煤集团“供应（合作）商黑名单”且在公布期内（以投标人加盖公章的承诺书为准）3.4其他要求：（1）本项目不接受联合体投标。4.招标文件的获取4.1获取时间：2025年5月8日08时30分到2025年5月14日17时30分（北京时间，下同）。
2025-05-07,招标,https://www.zbytb.com/s-zb-57349670.html,陕西,咸阳市,陕西 » 咸阳市,"垃圾外运,绿化,道路绿化,五建",广西建工五建集团有限公司+华西分公司+秦皇北路道路绿化项目+垃圾外运任务招标公告,一、 招标单位广西建工第五建筑工程集团有限公司二、工程概况工程地点:陕西省咸阳市秦皇北路工程造价:3690057.06建筑规模:现场垃圾外运三、招标日程安排1、招标截止时间：2525年5月6日至2025年5月8日。2、招标答疑时间：2025年5月8日。四、招标内容及范围分包名称工程范围备注垃圾外运现场垃圾外运注明：1、投标人自行踏勘现场，任何因忽视或误解工地情况而导致的索赔或工期延长申请将不被批准。2、上列范围招标方有权根据所承接任务量进行调整。
2025-05-07,招标,https://www.zbytb.com/s-zb-57350021.html,陕西,咸阳市,陕西 » 咸阳市,"厨房设备,陕西彬长,厂前区,彬长,厂前",陕西彬长文家坡发电有限公司厂前区厨房设备及餐厅物资采购项目招标公告,2.项目概况、招标范围及招标编号2.1项目名称：陕西彬长文家坡发电有限公司厂前区厨房设备及餐厅物资采购项目2.2项目地点：陕西省咸阳市彬州市2.3招标范围：厂前区新建餐厅区域厨房设备及餐厅物资，需购入一批厨房设备及餐厅物资，包括四门冰柜2台、双斗水池8台、双温水龙头15台、油烟净化一体机65米、长龙洗碗机1台、净水系统1套、高智能食品安全分析仪1台、传菜电梯1部、冷冻库39m3、冷藏库36m3等共计83种物资及安装附件（详见招标文件第五章技术规范书）。2.4交货期：合同签订后21天2.5招标编号：0866-25C2SXQY03453.投标人资格要求3.1资质要求：（1）投标人须是中华人民共和国境内注册的独立法人资格或其他组织，具有有效的营业执照，并具有与本招标项目相应的供货及服务能力；（2）法定代表人为同一人或者存在控股、管理关系的不同单位，不得同时参加投标。3.2业绩要求：投标人须提供2022年01月01日至投标截止日厨房设备采购业绩3份，其中合同清单中主要产品油烟净化一体机项目至少1套或不低于30米，合同扫描件须至少包含:合同买卖双方盖章页、合同签订日期、合同内容、项目服务厂家、交付清单等关键信息。3.3信誉要求：（1）未在“信用中国”网站中列入失信被执行人名单，提供有效证明资料（网页截图）。（2）不得列入陕煤集团“供应（合作）商黑名单”且在公布期内（以投标人加盖公章的承诺书为准）3.4其他要求：（1）本项目不接受联合体投标。本项目接受代理商投标（代理商须具有油烟净化一体机、长龙洗碗机、净水系统、高智能食品安全分析仪、冷冻库、冷藏库生产厂商的授权书，以及生产厂商的企业营业执照）。4.招标文件的获取4.1获取时间：2025年5月8日08时30分到2025年5月14日17时30分（北京时间，下同）。
2025-05-07,招标,https://www.zbytb.com/s-zb-57342354.html,陕西,咸阳市,资质: 建筑工程施工总承包二级,"健身活动中心,室外工程,活动中心,长武县",长武县全民健身活动中心室外工程招标公告,1.招标条件本招标项目长武县全民健身活动中心室外工程已由长武县行政审批服务局以长审批批复（2024）155号批准建设，招标人(项目业主)为长武县文化和旅游局，建设资金来自财政，项目出资比例为国有资金100.00%。项目已具备招标条件，现对该项目进行公开招标，特邀请有意愿的潜在投标人（以下简称申请人）提出资格预审申请。2.项目概况与招标范围2.1建设地点：长武县景清路西侧；2.2工程规模：主要包括室外土建及设备管线工程，具体内容详见招标文件及工程量清单；2.3项目投资总额：20425100元，（其中本次招标工程估算17872400元）；2.4计划工期：365日历天；2.5标段划分：标段1:标段名称:长武县全民健身活动中心室外工程;标段编号:E61040035165y35pdtm1001;标段类型:施工;；2.6招标范围：标段1:主要包括室外土建及设备管线工程，具体内容详见招标文件及工程量清单。；2.7其他：/。3.申请人资格要求3.1标段名称：长武县全民健身活动中心室外工程：本次资格预审要求申请人具备【建筑工程施工总承包二级】及以上资质，并在人员、设备、资金等方面具备相应的施工能力。其中，投标人拟派项目负责人具备【建筑工程二级注册建造师】及以上执业资格，具备有效的安全生产考核合格证书，且无在建项目，项目经理近三年具有类似施工业绩。同时企业须具有有效的营业执照和安全生产许可证，申请人近三年具有类似施工业绩。。3.2标段名称：长武县全民健身活动中心室外工程：本次资格预审不接受联合体资格预审申请。3.3各投标人均可就本招标项目上述标段中的1个标段投标，但最多允许中标1个标段（适用于分标段的招标项目）。4.资格预审方式本次资格预审采用有限数量制。5.资审文件的获取5.1请于2025-05-07 09:00起至2025-05-19 18:00下载资审文件。6.资格预审申请文件的递交6.1资格预审申请文件递交的截止时间为2025年05月20日09时30分。
2025-05-07,招标,https://www.zbytb.com/s-zb-57342361.html,陕西,咸阳市,资质: 电力工程监理甲级,"风电,监理,风电项目工程,工程建设监理,建设监理",陕煤旬邑200兆瓦风电项目工程建设监理招标公告,"一、招标条件陕煤旬邑200兆瓦风电项目已由陕西省发展和改革委员会以陕发改能新能源〔2024〕1167号文件核准批复。项目动态投资11.7亿元，其中资本金占20%，由企业自筹，其余部分申请银行贷款解决。本招标项目陕煤旬邑200兆瓦风电项目工程建设监理，招标人为陕煤旬邑新能源科技有限公司，项目已具备招标条件，现对该项目进行公开招标。二、项目概况、标段划分与招标范围2.1 工程规模：装机容量200MW风电工程2.2招标范围：陕煤旬邑200兆瓦风电项目监理,包括但不限于200兆瓦风电场工程、升压站及送出线路工程，从施工准备开始到土建、安装、调试至工程所有项目竣工验收合格之日止的全过程监理，配合项目结算、项目审计、专项验收、档案归档、竣工验收、达标投产及创优等相关工作。2.3建设地点：咸阳市旬邑县境内。2.4监理服务期限：监理服务期为施工期至竣工验收所有监理工作，现场服务结束与项目竣工验收同步，竣工后负责工程质保监督，配合工程结算、工程审计、项目后评价等全部服务时间止。三、投标人资格要求3.1 投标人为在中华人民共和国境内依法注册的独立法人，具备合法有效的营业执照。3.2投标人须具有电力工程监理甲级或工程监理综合资质。3.3拟派驻项目总监理工程师具有“国家注册监理工程师”资格证书且未担任其他在建项目的总监理工程师（提供承诺书），必须具备2020年1月1日至投标文件递交截止时间风电发电工程监理经验和监理业绩（至少提供1份200MW或以上风电电站监理业绩），拟派总监理工程师必须进驻项目现场，提供2024年6月至2024年12月每月社保缴纳记录。3.4投标人2020年1月1日至投标文件递交截止时间具有1项200MW或以上风电场建设监理项目业绩，并具有两个或以上110kV升压站及线路监理业绩（业绩证明文件以合同为准，合同复印件应清晰明了，有合同签署双方的盖章页，合同复印件应加盖公章）。3.5投标人须提供近年（2022年、2023年、2024年连续三年）经第三方审计的年度财务审计报告、财务报表（应附经会计师事务所或审计机构审计的财务会计报表，包括资产负债表、现金流量表、利润表的复印件）。3.6信誉要求(以投标人加盖公章的承诺书为准):(1)投标人未列入信用中国(https://www.creditchina.gov.cn/)严重失信名单或失信惩戒对象;(2)投标人未列入中国执行信息公开网(http://zxgk.court.gov.cn/)失信被执行人名单;(3)投标人未列入国家企业信用信息公示系统(https://www.gsxt.gov.cn/)严重违法失信名单(黑名单);3.6本项目不接受联合体投标。四、资格审查方法本次招标采用资格后审的方法对投标人资格进行审查，资格评审的条件、标准、方法详见招标文件。五、招标文件获取5.1凡有意参加投标者，请于2025年5月7日08时00分至2025年5月12日18时00分（北京时间，下同）下载招标文件。六、投标文件递交6.1 投标文件递交的截止时间（投标截止时间，下同）为2025年5月29日09时30分。"
2025-05-07,招标,https://www.zbytb.com/s-zb-57344578.html,陕西,咸阳市,项目报价: 279万元,"润滑剂,钢管,咸阳宝石,宝石,石钢",咸阳宝石钢管钢绳有限公司钢丝拉拔润滑剂框架招标(定商定价)-二次招标公告,1. 招标条件本招标项目咸阳宝石钢管钢绳有限公司钢丝拉拔润滑剂框架招标（定商定价）-二次招标人为咸阳宝石钢管钢绳有限公司，招标项目资金来自咸阳宝石钢管钢绳有限公司，出资比例为 100% 。该项目已具备招标条件，现对其进行公开招标。2. 项目概况与招标范围2.1招标产品范围：项目为咸阳宝石钢管钢绳有限公司钢丝拉拔润滑剂，采购物资物料组为17990444  防锈润滑剂，项目划分为1标包/段。预计采购金额279.368万元，招标采购物资品种及规格见下表：序号物资名称数量（吨）最高限价（元/吨）总金额钢丝拉拔润滑剂1钙皂260883622973602钠皂3215510496320合     计27936802.2技术要求：技术标准：满足咸阳宝石钢管钢绳有限公司《钢丝拉拔润滑剂采购技术要求》Y-059-2016号，详见附件。2.3招标结果有效期：自合同签订之日起24个月。2.4依据招标品种规格及数量为预估使用量，供货计划按月下发，分批到货；具体规格及数量以招标人电话通知或电子邮件为准，以需方单位实际过磅数量为准。2.5结算方式：物资验收合格凭13%增值税票挂账后6个月支付物资总金额90%货款，剩余10%货款作为质量保证金，质保期12个月满后无任何质量问题，一次性付清。按照合同约定送货至指定地点交货并提供《产品合格证明》、《质量检验报告》等相关技术质量资料，同时提供13%增值税专用发票；结算重量以实际称重重量为准。2.6交货地点：陕西省咸阳市秦都区玉泉西路西延段咸阳宝石钢管钢绳有限公司库房。2.7价格调整：在合同期内，如遇交易货物市场价格发生较大变化，幅度超过±10  %时，双方协商调整价格，以谁受益谁举证的原则，双方协商调整价格，次月生效。3. 投标人资格要求3.1投标人应为中华人民共和国境内注册的法人或其他组织，具有承担民事责任的能力（法人企业分支机构等不具备法人资格的投标人参与投标时，应持对应法人企业法定代表人身份证明及法定代表人出具的授权委托书方可参与投标）。提供统一社会信用代码的营业执照彩色扫描件。投标人需具备响应招标人采购需求的完全供货能力，存在控股关系或管理关系或隶属于同一集团的多个投标人参与投标的，投标将被否决。3.2投标人须提供2023年度有效的经会计师事务所或审计机构审计的财务审计报告（有效是指：审计报告应当有注册会计师的签名和盖章，会计师事务所的名称、地址、盖章，财务报表包括：资产负债表、利润表或称损益表、现金流量表和报表附注），财务状况良好，无资不抵债情况。3.3信誉要求：①未被工商行政管理机关在全国企业信用信息公示系统中列入严重违法失信企业名单；②未被最高人民法院在“信用中国”网站列入失信被执行人名单；③投标人或其法定代表人、拟委任的项目负责人近三年无行贿犯罪。3.4被中国石油天然气集团有限公司或宝鸡石油机械有限责任公司限制投标的潜在投标人，《中国石油天然气集团有限公司采购产品质量监督抽查情况通报》中被处罚的投标人（复查合格的除外），投标将被否决。3.5投标人所供产品必须符合国家、行业现行技术标准和招标文件要求，必须符合满足其他法律、行政法规规定的其他条件。3.6不接受联合体投标。注：以上条件均为否决项，投标人所提供的证明材料原件、彩色扫描件，须真实、有效、清晰可识别，否则按不合格处理，证明材料不接受单独递交；投标人对所提供材料的真实性负法律责任。4. 招标文件的获取凡有意参加投标的潜在投标人，请于北京时间 2025年05月07日至2025年05月12日……购买
2025-05-07,招标,https://www.zbytb.com/s-zb-57343185.html,陕西,咸阳市,陕西 » 咸阳市,"报废资产,年报,报废",陕西统一2025年报废资产外卖招标公告,****公司）项目范围：厂内报废资产（回收商需至陕西统一查看实物）项目要求：服务商至项目地点自行运输，拆卸、包装、搬运、运输等，相关费用由购买方自理；拉运货物时如为法人本人拉运，提供身份证明，如非法人，提供授权委托**同后，买方派车到卖方装货过磅，双方对设备及价格进行...
2025-05-07,招标,https://www.zbytb.com/s-zb-57343282.html,陕西,咸阳市,资质: 岩土工程,"装备,深部开采,治理技术,装备研究,彬长",彬长矿区深部开采井-地联合压裂治理技术及装备研究项目招标公告,自筹，招标人为陕西彬长矿****公司，项目已具备招标条件。陕西秦源招****公司受陕西彬长矿****公司的委托**2．项目名称、招标范围********项目名称：彬长矿区深部开采井-地联合压裂治理技术及装备研究项目********招标编号：0866-25C3SXQY********.3项目概况：孟村矿、胡家河矿、小庄...
2025-05-07,招标,https://www.zbytb.com/s-zb-57358414.html,陕西,咸阳市,项目报价: 450万元,"工服,钢管,咸阳宝石,外协加工,宝石",咸阳宝石钢管钢绳有限公司索具插编、编结挤压工序外协加工服务框架招标公告,（重要提示：投标人务必认真填写招标文件附件《投标信息表》中的“工程/服务/物资”、“业绩发票”等表格，并在递交投标文件时，将已填写的《投标信息表》（EXCEL版）上传至中国石油电子招标投标交易平台“递交投标文件”的“价格文件”处。《投标信息表》（EXCEL版）填写的信息须与投标文件内容保持一致，若因填写信息错误或与投标文件...
