Platform_Name|URL|Focus_Area|Features|Real-Time_Alerts|Coverage|Price_Data|Geo-Filter
中国招标投标公共服务平台|https://bulletin.cebpubservice.com/xxfbcmses/search/bulletin.html|All industries (gov/corporate)|Official national platform, mandatory for public tenders|F|National|F|T
招标雷达|https://www.bidradar.com|Scrap metal, construction waste|AI-powered alerts, covers 90%+ Chinese tenders|T|National|F|T
慧招网|https://www.bidchance.com|Industrial waste, metals|Free + paid plans, large database|T|National|F|T
Feijiu网|https://feijiu.zbytb.com/|Scrap metal, recycling|Largest scrap-focused platform, real-time updates|T|National|T|T
再生资源信息网|http://www.zz91.com|All recyclables (metal/plastic/paper)|Includes price trends, WeChat alerts|F|National|T|F
金属废料资源网|http://www.metalrecycle.org.cn|Non-ferrous/ferrous metals|Govt-backed, reliable but slower updates|F|National|T|F
陕西公共资源交易中心|http://www.sxggzyjy.cn|Shaanxi tenders (all sectors)|Official source for local projects|F|Shaanxi only|F|T
西北招标网|http://www.xbzbcg.com|Northwest China (incl. Shaanxi)|Good for industrial scrap tenders|T|Regional|F|T
废金属之家|WeChat: feijinshu123|Scrap metal|Daily bidding alerts, price reports|T|National|T|F
回收商网APP|App: "回收商网"|Scrap auctions|Geo-targeted tenders|T|National|T|T
